date,value
2009-11-01,-0.80336
2009-12-01,-0.59814
2010-01-01,-0.45144
2010-02-01,-0.36199
2010-03-01,0.12611
2010-04-01,0.44341
2010-05-01,0.81787
2010-06-01,0.85391
2010-07-01,1.03058
2010-08-01,0.89533
2010-09-01,1.01251
2010-10-01,1.09816
2010-11-01,1.23539
2010-12-01,1.28298
2011-01-01,0.98820
2011-02-01,1.19667
2011-03-01,1.58947
2011-04-01,1.67846
2011-05-01,1.94367
2011-06-01,1.42369
2011-07-01,1.25931
2011-08-01,0.68617
2011-09-01,0.78578
2011-10-01,0.95439
2011-11-01,0.94966
2011-12-01,0.78002
2012-01-01,0.63532
2012-02-01,0.77290
2012-03-01,1.13650
2012-04-01,1.48693
2012-05-01,1.44409
2012-06-01,1.14784
2012-07-01,0.67562
2012-08-01,0.47167
2012-09-01,0.32319
2012-10-01,0.23667
2012-11-01,0.28010
2012-12-01,-0.06771
2013-01-01,-0.21350
2013-02-01,0.08947
2013-03-01,0.23836
2013-04-01,0.59127
2013-05-01,0.52027
2013-06-01,0.47611
2013-07-01,0.65901
2013-08-01,0.83436
2013-09-01,0.86380
2013-10-01,0.71104
2013-11-01,0.50392
2013-12-01,0.47530
2014-01-01,0.58715
2014-02-01,0.73230
2014-03-01,0.59891
2014-04-01,0.39424
2014-05-01,0.51615
2014-06-01,0.92999
2014-07-01,0.99622
2014-08-01,0.64608
2014-09-01,0.77496
2014-10-01,0.86484
2014-11-01,0.95121
2014-12-01,0.75110
2015-01-01,0.47540
2015-02-01,0.32715
2015-03-01,0.52848
2015-04-01,0.43700
2015-05-01,0.52487
2015-06-01,0.56957
2015-07-01,0.51781
2015-08-01,0.14931
2015-09-01,-0.13150
2015-10-01,-0.12991
2015-11-01,0.05530
2015-12-01,0.22074
2016-01-01,0.20605
2016-02-01,0.08670
2016-03-01,0.27079
2016-04-01,0.47342
2016-05-01,0.50798
2016-06-01,0.24128
2016-07-01,-0.23041
2016-08-01,-0.24068
2016-09-01,-0.01798
2016-10-01,0.25634
2016-11-01,0.26482
2016-12-01,0.03818
2017-01-01,-0.28742
2017-02-01,-0.17563
2017-03-01,0.19889
2017-04-01,0.72007
2017-05-01,0.57627
2017-06-01,0.46637
2017-07-01,0.20362
2017-08-01,0.24012
2017-09-01,0.15281
2017-10-01,0.25334
2017-11-01,-0.03595
2017-12-01,-0.09957
2018-01-01,0.10768
2018-02-01,0.73349
2018-03-01,0.83147
2018-04-01,0.66350
2018-05-01,0.36977
2018-06-01,0.42771
2018-07-01,0.51605
2018-08-01,0.50849
2018-09-01,0.08641
2018-10-01,0.00217
2018-11-01,-0.09579
2018-12-01,-0.03834
2019-01-01,0.08719
2019-02-01,0.12458
2019-03-01,0.41180
2019-04-01,0.16121
2019-05-01,0.26920
2019-06-01,-0.13780
2019-07-01,-0.29052
2019-08-01,-0.60286
2019-09-01,-0.77543
2019-10-01,-0.52868
2019-11-01,-0.52229
2019-12-01,-0.44967
2020-01-01,-0.50909
2020-02-01,-0.63081
2020-03-01,-0.06139
2020-04-01,-3.72819
2020-05-01,-0.94150
2020-06-01,-8.52920
2020-07-01,-5.22077
2020-08-01,-6.71652
2020-09-01,1.82300
2020-10-01,3.00375
2020-11-01,2.20800
2020-12-01,1.38178
2021-01-01,0.80070
2021-02-01,0.55475
2021-03-01,1.28082
