Datetime,Y,O,return_y,return_0,diff
2014/01/20-14:45,6818,7006,0,0,0
2014/01/20-14:50,6816,7008,-0.000293341,0.00028547,-0.000578811
2014/01/20-14:55,6826,7006,0.001467136,-0.000285388,0.001752524
2014/01/20-15:00,6826,7008,0,0.00028547,-0.00028547
2014/01/21-09:05,6802,6998,-0.003515968,-0.001426941,-0.002089028
2014/01/21-09:10,6794,7002,-0.001176125,0.000571592,-0.001747717
2014/01/21-09:15,6800,7006,0.000883132,0.000571265,0.000311867
2014/01/21-09:20,6794,7000,-0.000882353,-0.000856409,-2.59E-05
2014/01/21-09:25,6784,6980,-0.001471887,-0.002857143,0.001385256
2014/01/21-09:30,6790,6970,0.000884434,-0.001432665,0.002317099
2014/01/21-09:35,6794,6974,0.000589102,0.000573888,1.52E-05
2014/01/21-09:40,6794,6968,0,-0.000860338,0.000860338
2014/01/21-09:45,6792,6966,-0.000294377,-0.000287026,-7.35E-06
2014/01/21-09:50,6798,6970,0.000883392,0.000574218,0.000309175
2014/01/21-09:55,6800,6974,0.000294204,0.000573888,-0.000279684
2014/01/21-10:00,6804,6970,0.000588235,-0.000573559,0.001161794
2014/01/21-10:05,6802,6974,-0.000293945,0.000573888,-0.000867833
2014/01/21-10:10,6808,6972,0.000882094,-0.000286779,0.001168873
2014/01/21-10:15,6808,6972,0,0,0
2014/01/21-10:35,6798,6974,-0.00146886,0.000286862,-0.001755722
2014/01/21-10:40,6794,6974,-0.000588408,0,-0.000588408
2014/01/21-10:45,6796,6968,0.000294377,-0.000860338,0.001154716
2014/01/21-10:50,6798,6982,0.000294291,0.002009185,-0.001714894
2014/01/21-10:55,6800,6980,0.000294204,-0.000286451,0.000580655
2014/01/21-11:00,6796,6976,-0.000588235,-0.000573066,-1.52E-05
2014/01/21-11:05,6788,6962,-0.001177163,-0.002006881,0.000829718
2014/01/21-11:10,6792,6966,0.000589275,0.000574548,1.47E-05
2014/01/21-11:15,6792,6966,0,0,0
2014/01/21-11:20,6792,6970,0,0.000574218,-0.000574218
2014/01/21-11:25,6794,6970,0.000294464,0,0.000294464
2014/01/21-11:30,6790,6970,-0.000588755,0,-0.000588755
2014/01/21-13:35,6786,6968,-0.000589102,-0.000286944,-0.000302158
2014/01/21-13:40,6784,6966,-0.000294724,-0.000287026,-7.70E-06
2014/01/21-13:45,6786,6972,0.000294811,0.000861326,-0.000566515
2014/01/21-13:50,6786,6974,0,0.000286862,-0.000286862
2014/01/21-13:55,6788,6972,0.000294724,-0.000286779,0.000581504
2014/01/21-14:00,6788,6972,0,0,0
2014/01/21-14:05,6786,6974,-0.000294638,0.000286862,-0.000581499
2014/01/21-14:10,6788,6974,0.000294724,0,0.000294724
2014/01/21-14:15,6790,6970,0.000294638,-0.000573559,0.000868197
2014/01/21-14:20,6788,6974,-0.000294551,0.000573888,-0.000868439
2014/01/21-14:25,6788,6972,0,-0.000286779,0.000286779
2014/01/21-14:30,6790,6972,0.000294638,0,0.000294638
2014/01/21-14:35,6788,6974,-0.000294551,0.000286862,-0.000581413
2014/01/21-14:40,6784,6974,-0.000589275,0,-0.000589275
2014/01/21-14:45,6786,6978,0.000294811,0.000573559,-0.000278748
2014/01/21-14:50,6788,6974,0.000294724,-0.00057323,0.000867955
2014/01/21-14:55,6786,6970,-0.000294638,-0.000573559,0.000278921
2014/01/21-15:00,6780,6958,-0.000884173,-0.001721664,0.000837491
2014/01/22-09:05,6782,6916,0.000294985,-0.006036217,0.006331203
2014/01/22-09:10,6764,6932,-0.002654084,0.002313476,-0.00496756
2014/01/22-09:15,6764,6924,0,-0.001154068,0.001154068
2014/01/22-09:20,6768,6930,0.000591366,0.000866551,-0.000275185
2014/01/22-09:25,6766,6930,-0.000295508,0,-0.000295508
2014/01/22-09:30,6776,6936,0.001477978,0.000865801,0.000612177
2014/01/22-09:35,6784,6940,0.001180638,0.000576701,0.000603936
2014/01/22-09:40,6782,6942,-0.000294811,0.000288184,-0.000582996
2014/01/22-09:45,6782,6942,0,0,0
2014/01/22-09:50,6798,6948,0.002359186,0.000864304,0.001494882
2014/01/22-09:55,6810,6954,0.001765225,0.000863558,0.000901667
2014/01/22-10:00,6806,6958,-0.000587372,0.000575209,-0.00116258
2014/01/22-10:05,6798,6946,-0.001175433,-0.001724634,0.0005492
2014/01/22-10:10,6802,6954,0.000588408,0.001151742,-0.000563334
2014/01/22-10:15,6800,6954,-0.000294031,0,-0.000294031
2014/01/22-10:35,6800,6952,0,-0.000287604,0.000287604
2014/01/22-10:40,6800,6956,0,0.000575374,-0.000575374
2014/01/22-10:45,6810,6970,0.001470588,0.002012651,-0.000542063
2014/01/22-10:50,6804,6968,-0.000881057,-0.000286944,-0.000594113
2014/01/22-10:55,6804,6970,0,0.000287026,-0.000287026
2014/01/22-11:00,6804,6968,0,-0.000286944,0.000286944
2014/01/22-11:05,6800,6968,-0.000587889,0,-0.000587889
2014/01/22-11:10,6800,6966,0,-0.000287026,0.000287026
2014/01/22-11:15,6800,6964,0,-0.000287109,0.000287109
2014/01/22-11:20,6798,6958,-0.000294118,-0.000861574,0.000567456
2014/01/22-11:25,6800,6956,0.000294204,-0.000287439,0.000581643
2014/01/22-11:30,6798,6964,-0.000294118,0.001150086,-0.001444204
2014/01/22-13:35,6802,6972,0.000588408,0.001148765,-0.000560357
2014/01/22-13:40,6804,6970,0.000294031,-0.000286862,0.000580893
2014/01/22-13:45,6804,6966,0,-0.000573888,0.000573888
2014/01/22-13:50,6792,6958,-0.001763668,-0.001148435,-0.000615233
2014/01/22-13:55,6794,6962,0.000294464,0.000574878,-0.000280414
2014/01/22-14:00,6796,6954,0.000294377,-0.001149095,0.001443472
2014/01/22-14:05,6794,6952,-0.000294291,-0.000287604,-6.69E-06
2014/01/22-14:10,6794,6944,0,-0.001150748,0.001150748
2014/01/22-14:15,6796,6952,0.000294377,0.001152074,-0.000857696
2014/01/22-14:20,6796,6950,0,-0.000287687,0.000287687
2014/01/22-14:25,6798,6948,0.000294291,-0.00028777,0.000582061
2014/01/22-14:30,6798,6954,0,0.000863558,-0.000863558
2014/01/22-14:35,6802,6956,0.000588408,0.000287604,0.000300804
2014/01/22-14:40,6808,6956,0.000882094,0,0.000882094
2014/01/22-14:45,6808,6964,0,0.001150086,-0.001150086
2014/01/22-14:50,6810,6960,0.000293772,-0.000574383,0.000868155
2014/01/22-14:55,6810,6964,0,0.000574713,-0.000574713
2014/01/22-15:00,6808,6962,-0.000293686,-0.000287191,-6.49E-06
2014/01/23-09:05,6802,6952,-0.000881316,-0.001436369,0.000555053
2014/01/23-09:10,6800,6948,-0.000294031,-0.000575374,0.000281343
2014/01/23-09:15,6796,6948,-0.000588235,0,-0.000588235
2014/01/23-09:20,6794,6952,-0.000294291,0.000575705,-0.000869996
2014/01/23-09:25,6790,6950,-0.000588755,-0.000287687,-0.000301068
2014/01/23-09:30,6794,6946,0.000589102,-0.00057554,0.001164641
2014/01/23-09:35,6792,6950,-0.000294377,0.000575871,-0.000870248
2014/01/23-09:40,6810,6988,0.002650177,0.005467626,-0.002817449
2014/01/23-09:45,6818,7008,0.001174743,0.002862049,-0.001687306
2014/01/23-09:50,6818,7002,0,-0.000856164,0.000856164
2014/01/23-09:55,6820,6996,0.000293341,-0.000856898,0.001150239
2014/01/23-10:00,6818,7000,-0.000293255,0.000571755,-0.00086501
2014/01/23-10:05,6820,7000,0.000293341,0,0.000293341
2014/01/23-10:10,6816,6998,-0.00058651,-0.000285714,-0.000300796
2014/01/23-10:15,6816,6998,0,0,0
2014/01/23-10:35,6816,7002,0,0.000571592,-0.000571592
2014/01/23-10:40,6816,6996,0,-0.000856898,0.000856898
2014/01/23-10:45,6816,6996,0,0,0
2014/01/23-10:50,6816,6998,0,0.000285878,-0.000285878
2014/01/23-10:55,6816,6994,0,-0.000571592,0.000571592
2014/01/23-11:00,6810,6988,-0.000880282,-0.000857878,-2.24E-05
2014/01/23-11:05,6810,6984,0,-0.00057241,0.00057241
2014/01/23-11:10,6798,6974,-0.001762115,-0.001431844,-0.00033027
2014/01/23-11:15,6794,6976,-0.000588408,0.000286779,-0.000875188
2014/01/23-11:20,6792,6970,-0.000294377,-0.000860092,0.000565714
2014/01/23-11:25,6798,6970,0.000883392,0,0.000883392
2014/01/23-11:30,6794,6970,-0.000588408,0,-0.000588408
2014/01/23-13:35,6812,6992,0.002649397,0.003156385,-0.000506988
2014/01/23-13:40,6816,6992,0.000587199,0,0.000587199
2014/01/23-13:45,6822,6996,0.000880282,0.000572082,0.000308199
2014/01/23-13:50,6818,6996,-0.000586338,0,-0.000586338
2014/01/23-13:55,6816,6996,-0.000293341,0,-0.000293341
2014/01/23-14:00,6816,6996,0,0,0
2014/01/23-14:05,6814,6994,-0.000293427,-0.000285878,-7.55E-06
2014/01/23-14:10,6816,6996,0.000293513,0.000285959,7.55E-06
2014/01/23-14:15,6816,7000,0,0.000571755,-0.000571755
2014/01/23-14:20,6820,7000,0.000586854,0,0.000586854
2014/01/23-14:25,6814,6996,-0.000879765,-0.000571429,-0.000308337
2014/01/23-14:30,6814,6990,0,-0.000857633,0.000857633
2014/01/23-14:35,6810,6978,-0.000587027,-0.001716738,0.001129711
2014/01/23-14:40,6808,6968,-0.000293686,-0.001433075,0.00113939
