day,count,dkim,pass_vs_block,pass_vs_maybe,percent_spam,recipients,sanitation_checks,size,spamscore,timing
06-02,7559,0.881930854533594,0.0411097952969041,0.107682619647355,0.0574154940967168,1.02924958043635,13.1739666872301,53468.2230453764,3.43258934813899,2004.46381796534
06-03,6090,0.878681097407501,0.038391959798995,0.105627220041129,0.0534439834024896,1.03701626472238,13.1848574237955,121360.164860427,3.39793879056046,2027.80935960591
06-04,2718,0.852261790182868,0.0358998582900331,0.0936944937833037,0.0404238618524333,1.01329305135952,13.4960835509138,76592.7667402502,2.86449608355092,1802.04562178072
06-05,8776,0.851157662624035,0.0110148514851485,0.0211905928466438,0.011134307585247,1.00470588235294,13.8656280428432,27111.2604831358,4.51065968841284,1551.48541476755
06-06,11305,0.870693837942746,0.0245102864455163,0.0633270321361059,0.0354290395248822,1.0182,11.5351360967799,31053.1642636002,1.83300302437293,1757.01724900487
06-07,6482,0.89046511627907,0.0633871281353296,0.134877873563218,0.0808490713282347,1.02068437180797,13.6009862778731,56370.7800061709,3.66852465694682,2018.45464362851
06-08,12442,0.947619957943032,0.0200071136404055,0.0448912384088743,0.0219187926697808,1.02222222222222,11.3776978417266,22397.9603761453,1.01147435095401,1841.24385147082
06-09,12051,0.953859717868339,0.0199068578212035,0.0526083502515668,0.0262188515709642,1.01584669246361,11.5819672131148,24157.5313252012,0.827217129474754,1661.13791386607
06-10,8401,0.923192544716669,0.0244565217391304,0.0592243186582809,0.0307038261691072,1.02262773722628,11.759131929523,40332.891679562,1.39446841426731,1792.65587430068
06-11,2550,0.860557768924303,0.0609821910415542,0.151633349585568,0.0640101738024587,1.01212121212121,13.8101694915254,48657.3854901961,3.94822994350282,1780.47529411765
06-12,2867,0.863168219715547,0.0627094303494495,0.133628318584071,0.0706916316392816,1.01561561561562,14.469165085389,53679.9396581793,5.35812239089183,1679.22846180677
06-13,6780,0.866698865008452,0.0395085066162571,0.0781930333817126,0.0471305382099316,1.02714805485586,11.6781407035176,53341.1550147493,0.619247236180898,1916.09616519174
06-14,7160,0.866493995761714,0.0445360824742268,0.106268081002893,0.0523515029483676,1.01424267324021,12.9243167484233,83021.6555865922,3.03647068441951,2137.8375698324
06-15,6164,0.859460749224529,0.0353123787349631,0.0850202429149798,0.0482907401261201,1.03776111408677,12.2691668644671,53594.630110318,1.24048611440777,2083.55223880597
06-16,7937,0.87075928917609,0.03933910306845,0.0932046045302636,0.0451812716341774,1.0136649357748,12.513734939759,37392.2114148923,1.67295975903614,1708.62630716896
06-17,11059,0.936087295401403,0.0244184366421037,0.0637825845812535,0.0318008359076867,1.01773894625364,11.8390915680116,127747.941314766,0.643392365305645,1432.68758477258
06-18,6679,0.881489841986456,0.0645833333333333,0.141080822572932,0.0275572162540869,1.00743034055728,14.2465415019763,35589.361281629,5.46821096837945,1177.58406947148
06-19,7121,0.827690752905508,0.0628348757915246,0.114180478821363,0.0284703233070613,1.01142857142857,13.5623689727463,50089.6354444601,3.6513679245283,1207.27355708468
06-20,9781,0.890516206482593,0.0292319449751624,0.0702653247941446,0.0278113663845224,1.019955654102,12.0782759474858,55284.5704938145,1.25825365370324,1497.41744197935
06-21,11514,0.939154160982265,0.0178793146262727,0.0466433650717127,0.0303787733128245,1.01729873586161,11.4721878862794,40842.1664061143,0.130512772970755,1559.30067743616
06-22,8403,0.894023711589644,0.0346947738252086,0.0776332354175409,0.0316091954022989,1.01516034985423,12.3889317889318,44639.5761037725,1.66233384813384,1796.84600737832
06-23,6381,0.88005284015852,0.00817948118719327,0.0861326442721792,0.0102924358764908,1.0426474015381,11.2562770562771,45496.8960977903,0.194007792207794,1771.66760695816
06-24,9028,0.946273830155979,0.000149320591309542,0.0666294954000558,0.00120502668273369,1.01669681369139,10.2709816033302,41022.5064244572,-1.17473479253402,1856.87826761187
06-25,1884,0.860215053763441,0,0.122068550811786,0.00112485939257593,1.04166666666667,12.0763052208835,78446.8577494692,-0.006126792885829,1935.59023354565
06-28,8323,0.94533711405167,0,0.0716176675491152,0.00163331972233565,1.01495907423088,9.91942619654109,30832.0114141535,-0.933513473655923,1546.73735431936
06-29,6312,0.876995046780407,0,0.13784021071115,0.00259277264624858,1.03193933823529,12.0998519145335,42552.9464512041,0.932232282631695,1897.22417617237
06-30,6421,0.868104860731841,0.000238549618320611,0.15792646172393,0.00226757369614512,1.02446982055465,12.9372050816697,42662.3846752842,2.77335462794917,2000.66625136272
07-02,2053,0.842249657064472,0,0.154804270462633,0.000533617929562433,1.00671140939597,12.4236926360726,68695.4612761812,1.15787033084312,1699.7306380906
07-14,2151,0.880686055182699,0.0206185567010309,0.170547147846333,0.0181211254172628,1.04782082324455,11.2382857142857,34500.2259414226,2.14392285714286,1495.72942817294
07-15,5226,0.874922982131855,0.0282885431400283,0.196491228070175,0.0226362179487179,1.0242707117853,12.4190037672666,55193.2998469193,3.6705696944328,2328.36261002679
07-16,2690,0.848536036036036,0.0207253886010363,0.226818181818182,0.014308426073132,1.02506596306069,13.183908045977,65482.307063197,4.17936904761904,1699.0219330855
