zip9,count
606342536,2
606342542,2
606342552,2
606342556,2
606342558,2
606342606,2
606342608,2
606342610,2
606342618,2
606342629,2
606342642,2
606342643,2
606342645,2
606342654,2
606342655,2
606342657,2
606342661,2
606342662,2
606342666,2
606342710,2
606342736,2
606342752,2
606342803,2
606342804,2
606342829,2
606342831,2
606342845,2
606342847,2
606342853,2
606342912,2
606342922,2
606342929,2
606342938,2
606342945,2
606342948,2
606342951,2
606342953,2
606342957,2
606342958,2
606343002,2
606343014,2
606343018,2
606343030,2
606343031,2
606343033,2
606343038,2
606343118,2
606343126,2
606343131,2
606343217,2
606343255,2
606343305,2
606343321,2
606343323,2
606343325,2
606343404,2
606343409,2
606343411,2
606343422,2
606343425,2
606343433,2
606343439,2
606343440,2
606343501,2
606343509,2
606343512,2
606343513,2
606343514,2
606343517,2
606343542,2
606343544,2
606343607,2
606343610,2
606343611,2
606343612,2
606343626,2
606343638,2
606343708,2
606343718,2
606343719,2
606343722,2
606343726,2
606343814,2
606343826,2
606343828,2
606343835,2
606343902,2
606343914,2
606343915,2
606343950,2
606343951,2
606343970,2
606344001,2
606344002,2
606344010,2
606344015,2
606344048,2
606344101,2
606344107,2
606344109,2
606344110,2
606344116,2
606344118,2
606344120,2
606344124,2
606344128,2
606344142,2
606344145,2
606344147,2
606344207,2
606344212,2
606344213,2
606344219,2
606344222,2
606344223,2
606344302,2
606344316,2
606344319,2
606344336,2
606344338,2
606344339,2
606344349,2
606344354,2
606344355,2
606344631,2
606344714,2
606344743,2
606344747,2
606344820,2
606344830,2
606344832,2
606344843,2
606344850,2
606344852,2
606344953,2
606344967,2
606345218,2
606392627,2
606411310,2
606411311,2
606411312,2
606411323,2
606411401,2
606411402,2
606411459,2
606411506,2
606411525,2
606411602,2
606411702,2
606411770,2
606412511,2
606412539,2
606412549,2
606412550,2
606412633,2
606412689,2
606412719,2
606412816,2
606413223,2
606413351,2
606413355,2
606413418,2
606413450,2
606413452,2
606413513,2
606414114,2
606414115,2
606414120,2
606414230,2
606414845,2
606461268,2
606461426,2
606462712,2
606462848,2
606463625,2
606463713,2
606463811,2
606463818,2
606463914,2
606463929,2
606464626,2
606464627,2
606464725,2
606465306,2
606465308,2
606465310,2
606465320,2
606465326,2
606465332,2
606465334,2
606465403,2
606465425,2
606465502,2
606465508,2
606465510,2
606465527,2
606465541,2
606465547,2
606466104,2
606466106,2
606466123,2
606466129,2
606466132,2
606466159,2
606466209,2
606466211,2
606466214,2
606466229,2
606466306,2
606466317,2
606466318,2
606466416,2
606466423,2
606561268,2
606561347,2
606561413,2
606561415,2
606561416,2
606561430,2
606561464,2
606561466,2
606561472,2
606561501,2
606561502,2
606561544,2
606561553,2
606561579,2
606561601,2
606561602,2
606561604,2
606561621,2
606561627,2
606561636,2
606561638,2
606561639,2
606561642,2
606561646,2
606561647,2
606561654,2
606561665,2
606561666,2
606561708,2
606561725,2
606561742,2
606561746,2
606561748,2
606561751,2
606561761,2
606561765,2
606561811,2
606561856,2
606561875,2
606561905,2
606561911,2
606561913,2
606561922,2
606561925,2
606561930,2
606561953,2
606561960,2
606562001,2
606562003,2
606562014,2
606562029,2
606562046,2
606562055,2
606562062,2
606562100,2
606562114,2
606562132,2
606562141,2
606562160,2
606562209,2
606562215,2
606562225,2
606562248,2
606562344,2
606562354,2
606562360,2
606562365,2
606562382,2
606562475,2
606562483,2
606562510,2
606562538,2
606562575,2
606562716,2
606562719,2
606562919,2
606563079,2
606563604,2
606563614,2
606563619,2
606563621,2
606563623,2
606563709,2
606563711,2
606563717,2
606563718,2
606563723,2
606563732,2
606563735,2
606563738,2
606563739,2
606563743,2
606563753,2
606563754,2
606563810,2
606563811,2
606563821,2
606563823,2
606563824,2
606563825,2
606563850,2
606563907,2
606563913,2
606563919,2
606563922,2
606564002,2
606564008,2
606564018,2
606564020,2
606564021,2
606564028,2
606564029,2
606564030,2
606564034,2
606564050,2
606564226,2
606564266,2
607061006,2
607061010,2
607061054,2
607061055,2
607061103,2
607061105,2
607061120,2
607061121,2
607061123,2
607061125,2
607061130,2
607061133,2
607061140,2
607061145,2
607061162,2
607061206,2
607061312,2
607061315,2
607061461,2
607062912,2
607062932,2
607062941,2
607063075,2
607063113,2
607063146,2
607063204,2
607063206,2
607063219,2
607063245,2
607063246,2
607063254,2
607063301,2
607063312,2
607063316,2
607063326,2
607063339,2
607063405,2
607063409,2
607063414,2
607063419,2
607063428,2
607063451,2
607063453,2
607063455,2
607063457,2
607063506,2
607063520,2
607063522,2
607063525,2
607063564,2
607063565,2
607063601,2
607063636,2
607063637,2
607063803,2
607063892,2
607063902,2
607063928,2
607064037,2
607064054,2
607064321,2
607064344,2
607064348,2
607064404,2
607064406,2
607064408,2
607064411,2
607064422,2
607064428,2
607064446,2
607064460,2
607064466,2
607064509,2
607064519,2
607064520,2
607064541,2
607064607,2
607064608,2
607064629,2
607064636,2
607064701,2
607064708,2
607064720,2
607064732,2
607064811,2
607064812,2
607064814,2
607064828,2
607064838,2
607064847,2
607064868,2
607064869,2
607067122,2
607067126,2
607067130,2
607067147,2
607067173,2
607067187,2
607067189,2
607067199,2
607067218,2
607067219,2
607067433,2
607071010,2
607071025,2
607071102,2
607071108,2
607071112,2
607071120,2
607071124,2
607071212,2
607071216,2
607071219,2
607071230,2
607071315,2
607071326,2
607071328,2
607071340,2
607071349,2
607071423,2
607071811,2
607072025,2
607072060,2
607072222,2
607072423,2
607072601,2
607072607,2
607073526,2
