zip9,count
606133457,3
606133459,3
606133474,3
606133503,3
606133507,3
606133606,3
606133619,3
606133624,3
606133626,3
606133637,3
606133643,3
606133718,3
606133727,3
606133757,3
606133814,3
606133818,3
606133820,3
606133822,3
606133823,3
606133844,3
606133909,3
606133940,3
606134007,3
606134023,3
606134242,3
606134300,3
606134310,3
606134332,3
606134649,3
606134804,3
606134858,3
606135104,3
606135217,3
606135304,3
606135308,3
606135311,3
606135313,3
606135410,3
606135505,3
606135510,3
606135518,3
606136080,3
606136633,3
606181406,3
606181503,3
606181504,3
606181541,3
606181607,3
606181619,3
606181632,3
606181702,3
606181705,3
606181748,3
606182803,3
606182809,3
606182811,3
606182812,3
606182819,3
606182920,3
606182927,3
606182930,3
606183019,3
606183029,3
606183046,3
606183060,3
606183813,3
606183817,3
606183901,3
606183912,3
606183934,3
606183936,3
606184609,3
606184705,3
606184801,3
606184802,3
606184818,3
606184822,3
606184904,3
606184925,3
606186001,3
606186002,3
606186009,3
606186018,3
606186108,3
606186202,3
606251202,3
606251313,3
606251322,3
606251348,3
606251357,3
606251383,3
606251394,3
606251414,3
606251415,3
606251441,3
606251512,3
606251514,3
606251528,3
606251531,3
606251644,3
606251703,3
606251705,3
606251806,3
606251815,3
606251918,3
606251922,3
606252006,3
606252008,3
606252022,3
606252221,3
606252511,3
606252518,3
606252610,3
606252637,3
606252711,3
606252743,3
606252754,3
606252815,3
606252825,3
606252839,3
606252908,3
606252927,3
606252993,3
606253000,3
606253001,3
606253007,3
606253026,3
606253038,3
606253204,3
606253504,3
606253613,3
606258550,3
606265012,3
606265105,3
606265106,3
606265115,3
606265309,3
606265613,3
606401003,3
606401009,3
606401010,3
606401013,3
606401035,3
606401041,3
606401101,3
606401106,3
606401107,3
606401206,3
606401212,3
606401215,3
606401216,3
606401217,3
606401218,3
606401315,3
606401405,3
606401520,3
606401954,3
606402026,3
606402101,3
606402115,3
606402160,3
606402206,3
606402210,3
606402219,3
606402227,3
606402336,3
606402357,3
606402407,3
606402495,3
606402593,3
606402612,3
606402660,3
606402702,3
606402703,3
606402707,3
606402708,3
606402715,3
606402819,3
